-18:46,しゅさいがわ！
36:15,主催者20位スタート
36:16,3000円献上するのってこんな気持ちなのかww
36:21,のあちゃんの20位記録が続く
36:22,これがAPEX
36:23,あちゃー
36:37,웃는게 넘 귀여워 ㅋㅋㅋ
36:57,しかも主催だからカジュアルも行けんｗ
36:58,確かに
37:06,確かに
37:08,たしかに〜
37:08,20位でも世界一かわいいなあ
37:12,1戦目は遊びよね？
37:22,主催者の余裕
37:25,逆に3試合しかないのに…
37:28,今回はカジュ行けない
37:39,ボラのあハルは一戦目遊ぶからな…
37:41,このエリアでこの部隊w
38:09,そうなんだ
38:14,しゃがみジャンパがナーフされた
38:15,それは知らんかった
38:22,主催者が負けたのは良いけどそのあと動きのないハイド画面なのが草
38:22,それはきつい
38:23,ジャンパも地味に弱体化してるのか
38:40,消費量がね
38:42,20減るね
38:43,興奮剤のほう
38:48,25じゃなくて20じゃなかったかな
38:50,おっと
38:50,あ
38:52,草
39:01,みらぼんさん？
39:10,モンハンじゃんw
39:10,これ見つかった瞬間溶ける奴やｗ
39:15,まじか
39:15,ばれないってマジ？ｗ
39:16,モンハンでもこんなに弓多くないｗ
39:17,バレないｗ
39:18,えぇw
39:18,モンハンｗ
39:24,なんならモンハンより弓見るｗ
39:26,えぇ
39:27,武器色目立つのに
39:34,武器派手すぎるw
39:34,花咲いてて草
39:47,おお
39:50,やるねぇ
39:52,おぉすごい
39:52,오오
39:53,ちーちゃんすごい！
39:53,キルリーダーだ
39:54,魔法少女スゲー
39:55,ちーちゃんつよっ！
39:56,ちーちゃんやってんねぇ！
40:01,ちーちゃんすげー！
40:13,やってんねー！
40:22,神ハイドやん
40:31,よぉ！がんこ！
40:31,ようがんこw
40:31,よう、頑固
40:35,そんなとこいけるのか
40:35,いいハイドポジ
40:40,ハイドの天才おるやん
40:41,プロのハイドやん
40:43,これはまたいい場所ｗ
40:43,よう頑固w
40:46,ヨウ・ガンコ
40:49,ルールがね
40:56,ハイド上手すぎ！！
41:03,あっ
41:03,あ
41:03,このハイドはプロってる
41:04,あっ・・・
41:05,あ
41:05,それは無理
41:06,あっ
41:13,うまい
41:16,スキャンには関係なかった
41:21,狩り始まったな
41:23,まだ１３か
41:37,★蒸発★
41:39,美味しそう
41:45,いいハイドだった〜
41:51,しろまんた先生
41:51,うおつかさんｗ
41:56,しーあーる・うおつか
41:58,うおつかさんｗ
42:00,お
42:03,メンバーへようこそ！
42:05,CR
42:07,crカップ
